code	display_name
114268001	Salmonella Goelzau var 15+ (organism)
8716004	Salmonella Gokul (organism)
112290002	Salmonella Goma (organism)
84543005	Salmonella Gombe (organism)
78907006	Salmonella Good (organism)
74958000	Salmonella Gori (organism)
50853000	Salmonella Goulfey (organism)
114703007	Salmonella Gouloumbo (organism)
66197006	Salmonella Goverdhan (organism)
21395009	Salmonella Grampian (organism)
114421009	Salmonella Grancanaria (organism)
114699009	Salmonella Grandhaven (organism)
36050001	Salmonella Granlo (organism)
3335004	Salmonella Greiz (organism)
715050006	Salmonella group O:3,15 (organism)
398492006	Salmonella group O:6,14 (organism)
398348008	Salmonella group O:9,46 (organism)
398399001	Salmonella group O:9,46,27 (organism)
59785000	Salmonella Guarapiranga (organism)
81994008	Salmonella Guerin (organism)
71316008	Salmonella Guinea (organism)
28879007	Salmonella Gwale (organism)
7467004	Salmonella Gwoza (organism)
114439000	Salmonella Hadejia (organism)
114483009	Salmonella Haduna (organism)
5908004	Salmonella Haelsingborg (organism)
65214003	Salmonella Haferbreite (organism)
86698005	Salmonella Haga (organism)
7830000	Salmonella Hallfold (organism)
29429005	Salmonella Handen (organism)
40427007	Salmonella Hann (organism)
61079001	Salmonella Haouaria (organism)
114930009	Salmonella Harcourt (organism)
114629001	Salmonella Harleystreet (organism)
89271003	Salmonella Harrisonburg (organism)
24896001	Salmonella Harvestehude (organism)
61304001	Salmonella Hatfield (organism)
114301007	Salmonella Hayindogo (organism)
38701009	Salmonella Heerlen (organism)
114733000	Salmonella Hegau (organism)
114906007	Salmonella Hemingford (organism)
114812001	Salmonella Hennekamp (organism)
76657005	Salmonella Heron (organism)
11188006	Salmonella Herzliya (organism)
26153006	Salmonella Heves (organism)
4918004	Salmonella Hiduddify (organism)
58045005	Salmonella Hillegersberg (organism)
22300006	Salmonella Hillsborough (organism)
14262001	Salmonella Hilversum (organism)
70671008	Salmonella Hisingen (organism)
3316004	Salmonella Hithergreen (organism)
114624006	Salmonella Hoboken (organism)
2047005	Salmonella Hoghton (organism)
8051001	Salmonella Homosassa (organism)
70004000	Salmonella Honelis (organism)
114309009	Salmonella Honkong (organism)
9439003	Salmonella Horsham (organism)
12040007	Salmonella Huddinge (organism)
114463008	Salmonella Huettwillen (organism)
63060009	Salmonella Huvudsta (organism)
1957006	Salmonella Hydra (organism)
441979009	Salmonella enterica subspecies enterica serovar 9,12:-:1,5 (organism)
721062001	Salmonella enterica subspecies enterica serovar O rough: nonmotile (organism)
398576004	Salmonella I, group O:1,3,19 (organism)
398445007	Salmonella I, group O:11 (organism)
398511003	Salmonella I, group O:13 (organism)
398354009	Salmonella I, group O:16 (organism)
404276008	Salmonella I, group O:17 (organism)
404295001	Salmonella I, group O:18 (organism)
398420009	Salmonella I, group O:2 (organism)
404311007	Salmonella I, group O:21 (organism)
404334003	Salmonella I, group O:28 (organism)
398342009	Salmonella I, group O:3,10 (organism)
404339008	Salmonella I, group O:30 (organism)
404342002	Salmonella I, group O:35 (organism)
404367004	Salmonella I, group O:38 (organism)
404392001	Salmonella I, group O:39 (organism)
398567006	Salmonella I, group O:4 (organism)
404395004	Salmonella I, group O:40 (organism)
404414003	Salmonella I, group O:41 (organism)
404431005	Salmonella I, group O:42 (organism)
404453007	Salmonella I, group O:43 (organism)
404468008	Salmonella I, group O:44 (organism)
404483003	Salmonella I, group O:45 (organism)
404491007	Salmonella I, group O:47 (organism)
404560003	Salmonella I, group O:48 (organism)
404589001	Salmonella I, group O:50 (organism)
398337001	Salmonella I, group O:51 (organism)
398476001	Salmonella I, group O:52 (organism)
398430000	Salmonella I, group O:53 (organism)
398362001	Salmonella I, group O:54 (organism)
398427007	Salmonella I, group O:57 (organism)
398490003	Salmonella I, group O:6,14 (organism)
398480006	Salmonella I, group O:67 (organism)
398542008	Salmonella I, group O:7 (organism)
398584000	Salmonella I, group O:8 (organism)
398334008	Salmonella I, group O:9 (organism)
398533001	Salmonella I, group O:9,46 (organism)
114659006	Salmonella Ibaragi (organism)
112306003	Salmonella II 1,13,22:b:z42 (organism)
114350001	Salmonella II 1,13,22:g,m,t:[1,5] (organism)
398578003	Salmonella II 1,13,22:g,t:1,5 (organism)
114368003	Salmonella II 1,13,22:z10:z6 (organism)
65252002	Salmonella II 1,13,22:z39:1,5,(7) (organism)
114373009	Salmonella II 1,13,23:[z42]:1,[5],7 (organism)
114344006	Salmonella II 1,13,23:a:1,5 (organism)
114345007	Salmonella II 1,13,23:a:e,n,x (organism)
114346008	Salmonella II 1,13,23:a:z42 (organism)
114347004	Salmonella II 1,13,23:b:[1,5]:z42 (organism)
114374003	Salmonella II 1,13,23:e,n,x:1,[5],7 (organism)
48642004	Salmonella II 1,13,23:g,[s],t:z42 (organism)
114351002	Salmonella II 1,13,23:g,m,[s],t:[e,n,x] (organism)
42992009	Salmonella II 1,13,23:g,m,s,t:1,5 (organism)
302703000	Salmonella II 1,13,23:g,m,s,t:z42 (organism)
114352009	Salmonella II 1,13,23:g,t:1,5 (organism)
114361009	Salmonella II 1,13,23:l,z28:z42 (organism)
114354005	Salmonella II 1,13,23:m,t:1,5 (organism)
114355006	Salmonella II 1,13,23:m,t:e,n,x (organism)
114357003	Salmonella II 1,13,23:m,t:z42 (organism)
114363007	Salmonella II 1,13,23:z:1,5 (organism)
114364001	Salmonella II 1,13,23:z:z42 (organism)
66749004	Salmonella II 1,13,23:z29:e,n,x (organism)
114372004	Salmonella II 1,13,23:z39:1,5,7 (organism)
398391003	Salmonella II 1,4,[5],12,27:a:e,n,x (organism)
114472000	Salmonella II 1,4,[5],12:f,g,t:z6:z42 (organism)
114464002	Salmonella II 1,4,12,27:a:z39 (organism)
398438007	Salmonella II 1,4,12,27:b:[e,n,x] (organism)
114471007	Salmonella II 1,4,12,27:e,n,x:1,[5]7 (organism)
114473005	Salmonella II 1,4,12,27:g,[m],[s],t:e,n,x (organism)
114474004	Salmonella II 1,4,12,27:g,[m],t:[1,5] (organism)
114481006	Salmonella II 1,4,12,27:k:1,6 (organism)
114485002	Salmonella II 1,4,12,27:z:1,5 (organism)
114488000	Salmonella II 1,4,12,27:z:e,n,x (organism)
114492007	Salmonella II 1,4,12,27:z39:1,[5],7 (organism)
114491000	Salmonella II 1,4,12:z29:e,n,x (organism)
13552001	Salmonella II 1,40:(z42):1,(5),7 (organism)
11827001	Salmonella II 1,40:a:z6 (organism)
114736008	Salmonella II 1,40:c:e,n,x,z15 (organism)
61375004	Salmonella II 1,40:c:z39 (organism)
114739001	Salmonella II 1,40:e,n,x,z15 :1,6 (organism)
114740004	Salmonella II 1,40:g,[m],[s],[t]:e,n,x (organism)
114741000	Salmonella II 1,40:g,[m],[s],t:1,5 (organism)
114745009	Salmonella II 1,40:g,[m],[s],t:z42 (organism)
